Title,Authors,Year,Published in,Keywords,Keywords,# of PwP,Experiment Environment,Application,Aspects,Device,AdditonalDevices,Sensors/Actuators,SamplingFrequency,Identifier,Document Type,
A comparison of clinical and objective measures of Freezing of gait in Parkinson's disease,"Morris, Tiffany R.; Cho, Catherine; Dilda, Valentina; Shine, James M.; Naismith, Sharon L.; Lewis, Simon J. G.; Moore, Steven T.",2012,Parkinsonism & Related Disorders,"Gold standard, Accelerometry, FOG, Timed up-and-go task","Gold standard, Accelerometry, FOG, Timed up-and-go task",<=10,Laboratory,Diagnosis,Freezing of gait,Wearable,Video Recording,"Video camera,Accelerometer",50,j.parkreldis.2012.03.001,Research Article,
An accelerometry-based study of lower and upper limb tremor in Parkinson's disease,"Scanlon, Blake K.; Levin, Bonnie E.; Nation, Daniel A.; Katzen, Heather L.; Guevara-Salcedo, Alexandra; Singer, Carlos; Papapetropoulos, Spiridon",2013,Journal of Clinical Neuroscience,"Parkinson's disease, Monitoring, Physiologic, Tremor, Extremities, Intraindividual variability","Parkinson's disease, Monitoring, Physiologic, Tremor, Extremities, Intraindividual variability",10<n<=20,Laboratory,Diagnosis,Tremor,Wearable,,Accelerometer,uk,j.jocn.2012.06.015,Research Article,
Accurate telemonitoring of Parkinson's disease diagnosis using robust inference system,"Mandal, Indrajit; Sairam, N.",2013,International Journal of Medical Informatics,"Parkinson's disease corrected -tests, Multinomial logistic regression classifier, Haar wavelets transformation, Inference system, Support Vector Machines, Ranker search, Artificial Neural Networks, Boosting, Statistical inference","Parkinson's disease corrected -tests, Multinomial logistic regression classifier, Haar wavelets transformation, Inference system, Support Vector Machines, Ranker search, Artificial Neural Networks, Boosting, Statistical inference",20<n<=30,Home,Diagnosis,Speech topics,Audio Recording,,Microphone,1000,j.ijmedinf.2012.10.006,Research Article,
Instability of syllable repetition in Parkinson's diseaseâ€”Impairment of automated speech performance?,"Skodda, Sabine; Lorenz, Julia; Schlegel, Uwe",2013,Basal Ganglia,"Parkinson's disease, Speech disorder, Syllable repetition, Motor speech performance, Complex motor speech tasks, Automaticity","Parkinson's disease, Speech disorder, Syllable repetition, Motor speech performance, Complex motor speech tasks, Automaticity",>30,Laboratory,Diagnosis,Speech topics,Audio Recording,,Microphone,,j.baga.2012.11.002,Research Article,
Combination of PCA and SVM for diagnosis of Parkinson's disease,M. Shahbakhti; D. Taherifar; Z. Zareei,2013,2013 2nd International Conference on Advances in Biomedical Engineering,Parkinson's disease;Speech;PCA;SVM,Parkinson's disease;Speech;PCA;SVM,20<n<=30,Existing Dataset,Diagnosis,Speech topics,Audio Recording,,Microphone,,icabme.2013.6648866,IEEE Conferences,
Linear and non-linear speech features for detection of Parkinson's disease,M. Shahbakhti; D. Taherifar; A. Sorouri,2013,The 6th 2013 Biomedical Engineering International Conference,Parkinson's disease;Speech analysis;Genetic algorithms;ANFC;SVM,Parkinson's disease;Speech analysis;Genetic algorithms;ANFC;SVM,>30,Existing Dataset,Diagnosis,Speech topics,Audio Recording,,Microphone,,bmeicon.2013.6687667,IEEE Conferences,
Collection and Analysis of a Parkinson Speech Dataset With Multiple Types of Sound Recordings,B. E. Sakar; M. E. Isenkul; C. O. Sakar; A. Sertbas; F. Gurgen; S. Delil; H. Apaydin; O. Kursun,2013,IEEE Journal of Biomedical and Health Informatics,Central tendency and dispersion metrics;cross validation;multiple sound types;speech impairments;telediagnosis of Parkinson's disease,Central tendency and dispersion metrics;cross validation;multiple sound types;speech impairments;telediagnosis of Parkinson's disease,10<n<=20,Laboratory,Diagnosis,Speech topics,Audio Recording,,Microphone,,jbhi.2013.2245674,IEEE Journals & Magazines,
Reduced sympathetic activity in idiopathic rapid-eye-movement sleep behavior disorder and Parkinson's disease,"Sorensen, Gertrud Laura; Mehlsen, Jesper; Jennum, Poul",2013,Autonomic Neuroscience,"Heart rate variability, Parkinson's disease, iRBD, Sleep, Autonomic dysfunction","Heart rate variability, Parkinson's disease, iRBD, Sleep, Autonomic dysfunction",20<n<=30,Laboratory,Diagnosis,Sleep topics,BioPotential,,"ECG,EEG,EOG,EMG",,j.autneu.2013.08.067,Research Article,
The rates of change of the stochastic trajectories of acceleration variability are a good predictor of normal aging and of the stage of Parkinson's disease,"Torres, Elizabeth B.",2013,Frontiers in Integrative Neuroscience,"Parkinson disease,severity of illness,stochastic,trajectories,prediction,accelerometers","Parkinson disease,severity of illness,stochastic,trajectories,prediction,accelerometers",,,Diagnosis,Activities of Daily Living,Smartphone,,Accelerometer,,fnint.2013.00050,research-article,
Functional connectivity between lateral premotor-parietal circuits and the cardiac autonomic system in Parkinson's disease,"Liou, Li-Min; Ruge, Diane; Chang, Yang-Pei; Wu, Meng-Ni; Hsu, Chung-Yao; Lin, Che-Wei; Tsai, Chin-Ling; Lai, Chiou-Lian",2013,Journal of the Neurological Sciences,"Central autonomic network, Electroencephalography, Heart rate variability, Parkinson's disease, Spectral analysis","Central autonomic network, Electroencephalography, Heart rate variability, Parkinson's disease, Spectral analysis",,,Diagnosis,"EEG abnormalities,Heart rate",BioPotential,,"EEG,ECG",,j.jns.2013.01.008,Research Article,
Comparison of quantitative EEG between patients with Alzheimer's disease and those with Parkinson's disease dementia,"Fonseca, Lineu C.; Tedrus, Gloria M. A. S.; Carvas, Priscila N.; Machado, Elaine C. F. A.",2013,Clinical Neurophysiology,"Parkinson's disease, Alzheimer's disease, Cognition, EEG, Dementia","Parkinson's disease, Alzheimer's disease, Cognition, EEG, Dementia",>30,Laboratory,Diagnosis,EEG abnormalities,BioPotential,,EEG,,j.clinph.2013.05.001,Research Article,
Functional connectivity abnormalities during contextual processing in schizophrenia and in Parkinson's disease,"Fogelson, Noa; Li, Ling; Li, Yuan; del-Olmo, Miguel Fernandez; Santos-Garcia, Diego; Peled, Avi",2013,Brain and Cognition,"Context, EEG, Synchronization likelihood, Graph theory, Schizophrenia, Parkinson's disease","Context, EEG, Synchronization likelihood, Graph theory, Schizophrenia, Parkinson's disease",20<n<=30,Laboratory,Diagnosis,EEG abnormalities,BioPotential,,EEG,,j.bandc.2013.05.001,Research Article,
Resting-state functional connectivity as a marker of disease progression in Parkinson's disease: A longitudinal MEG study,"Dubbelink, Kim T. E. Olde; Stoffers, Diederick; Deijen, Jan Berend; Twisk, Jos W. R.; Stam, Cornelis J.; Hillebrand, Arjan; Berendse, Henk W.",2013,NeuroImage: Clinical,"Parkinson's disease, Functional connectivity, Cognitive decline, Magnetoencephalography (MEG), Longitudinal","Parkinson's disease, Functional connectivity, Cognitive decline, Magnetoencephalography (MEG), Longitudinal",,,Diagnosis,EEG abnormalities,BioPotential,,MEG,,j.nicl.2013.04.003,Research Article,
Persons with Parkinson's disease exhibit decreased neuromuscular complexity during gait,"Rodriguez, Kathryn L.; Roemmich, Ryan T.; Cam, Bruce; Fregly, Benjamin J.; Hass, Chris J.",2013,Clinical Neurophysiology,"Motor modules, Motor control, Gait, Parkinson's disease, Non-negative matrix factorization, Electromyography","Motor modules, Motor control, Gait, Parkinson's disease, Non-negative matrix factorization, Electromyography",10<n<=20,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.clinph.2013.02.006,Research Article,
Sitting movement in elderly subjects with and without Parkinson's disease: A biomechanical study,"Dionisio, Valdeci Carlos; de Biagi Curtarelli, MÃ´nica; de Souza, Luciane Aparecida Pascucci Sande",2013,Journal of Electromyography and Kinesiology,"Parkinson's disease, Electromyography, Kinetic, Kinematic, Sitting","Parkinson's disease, Electromyography, Kinetic, Kinematic, Sitting",<=10,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.jelekin.2013.03.005,Research Article,
Parkinson's disease and sex-related differences in electromyography during daily life,"Roland, Kaitlyn P.; Jones, Gareth R.; Jakobi, Jennifer M.",2013,Journal of Electromyography and Kinesiology,"Muscle quiescence, Handgrip strength, Males, Females, Independent-living populations","Muscle quiescence, Handgrip strength, Males, Females, Independent-living populations",20<n<=30,Laboratory,Diagnosis,EMG abnormalities,BioPotential,,EMG,,j.jelekin.2013.03.008,Research Article,
Design of Mems Gyroscope to detect and monitor Parkinson's disease - A study,A. S. Adhavi Shri; S. Praveen Kumar; T. Aravind,2013,INTERNATIONAL CONFERENCE ON SMART STRUCTURES AND SYSTEMS - ICSSS'13,Gyroscopes;MEMS;Parkinson's disease,Gyroscopes;MEMS;Parkinson's disease,,,Diagnosis,Bradykinesia and Dyskinesia,Wearable,,Gyroscope,uk,icsss.2013.6623005,IEEE Conferences,
Cardiovascular physiology in pre-motor Parkinson disease: A Neuroepidemiologic study,"Jain, S; Ton, TG; Perera, S; Zheng, Y; Stein, PK; Thacker, EL; Strotmeyer, ES; Newman, AB; Longstreth, WT",2013,Movement disorders : official journal of the Movement Disorder Society,"Parkinson disease,neuroepidemiology,non-motor features,cardiovascular physiology,neurodegeneration","Parkinson disease,neuroepidemiology,non-motor features,cardiovascular physiology,neurodegeneration",,,Diagnosis,Heart rate,BioPotential,,ECG,,mds.24979,research-article,
Tremor assessment using spiral analysis in time-frequency domain,D. Surangsrirat; A. Intarapanich; C. Thanawattano; R. Bhidayasiri; S. Petchrutchatachart; C. Anan,2013,2013 Proceedings of IEEE Southeastcon,tremor assessment;Archimedean spiral;spiral analysis;Parkinson's disease;mobile application,tremor assessment;Archimedean spiral;spiral analysis;Parkinson's disease;mobile application,uk,uk,Diagnosis,Handwriting,Smartphone,,Touchscreen,,secon.2013.6567469,IEEE Conferences,
Chi-square distance kernel of the gaits for the diagnosis of Parkinson's disease,"Daliri, Mohammad Reza",2013,Biomedical Signal Processing and Control,"Parkinson's disease, Kernel methods, Chi-square distance kernel, Automatic diagnosis, Support vector machines (SVMs)","Parkinson's disease, Kernel methods, Chi-square distance kernel, Automatic diagnosis, Support vector machines (SVMs)",>30,Home,Diagnosis,Gait,Wearable,,Force sensor,100,j.bspc.2012.04.007,Research Article,
"Insights into gait disorders: Walking variability using phase plot analysis, Parkinson's disease","Esser, Patrick; Dawes, Helen; Collett, Johnny; Howells, Ken",2013,Gait & Posture,"Variability, Gait, Parkinson's disease, Accelerometry","Variability, Gait, Parkinson's disease, Accelerometry",10<n<=20,Laboratory,Diagnosis,Gait,Wearable,,Accelerometer,100,j.gaitpost.2013.02.016,Research Article,
Performance comparison of parkinsonian gait based on Principal Component Analysis,H. H. Manap; N. M. Tahir; R. Abdullah,2013,2013 IEEE Symposium on Industrial Electronics & Applications,Gait analysis;Principal Component Analysis;Artificial Neural Network;Support Vector Machine;Naive Bayes Classifier,Gait analysis;Principal Component Analysis;Artificial Neural Network;Support Vector Machine;Naive Bayes Classifier,,,Diagnosis,Gait,Force/Pressure,Other,"Force sensor,IR-sensor",,isiea.2013.6738997,IEEE Conferences,
On-Shoe Wearable Sensors for Gait and Turning Assessment of Patients With Parkinson's Disease,B. Mariani; M. C. JimÃƒÂ©nez; F. J. G. Vingerhoets; K. Aminian,2013,IEEE Transactions on Biomedical Engineering,Gait analysis;inertial sensors;Parkinson;spatio-temporal parameters;timed up and go,Gait analysis;inertial sensors;Parkinson;spatio-temporal parameters;timed up and go,,,Diagnosis,Gait,Wearable,,"Accelerometer,Gyroscope",200,tbme.2012.2227317,IEEE Journals & Magazines,
Accelerometry-Based Gait Analysis and Its Application to Parkinson's Disease Assessment-- Part 2 : A New Measure for Quantifying Walking Behavior,M. Yoneyama; Y. Kurihara; K. Watanabe; H. Mitoma,2013,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Accelerometers;biomedical signal processing;gait analysis;Parkinson's disease (PD),Accelerometers;biomedical signal processing;gait analysis;Parkinson's disease (PD),,,Diagnosis,Gait,Wearable,,Accelerometer,100,tnsre.2013.2268251,IEEE Journals & Magazines,
Clinical assessment of Freezing of gait in Parkinson's disease from computer-generated animation,"Morris, Tiffany R.; Cho, Catherine; Dilda, Valentina; Shine, James M.; Naismith, Sharon L.; Lewis, Simon J. G.; Moore, Steven T.",2013,Gait & Posture,"Accelerometry, FOG, Timed up-and-go task, Avatar","Accelerometry, FOG, Timed up-and-go task, Avatar",<=10,Laboratory,Diagnosis,Freezing of gait,Wearable,"Wearable,Video Recording","Accelerometer,Gyroscope,Video camera",50,j.gaitpost.2012.12.011,Research Article,
Dynamics of turning sharpness influences Freezing of gait in Parkinson's disease,"Bhatt, Haseel; Pieruccini-Faria, Frederico; Almeida, Quincy J.",2013,Parkinsonism & Related Disorders,"Parkinson's disease, Turning, Freezing of gait","Parkinson's disease, Turning, Freezing of gait",10<n<=20,Laboratory,Diagnosis,Freezing of gait,Motion Tracker,,Motion capture,,j.parkreldis.2012.09.006,Research Article,
Electroencephalographic Findings Related With Mild Cognitive Impairment in Idiopathic Rapid Eye Movement Sleep Behavior Disorder,"Sasai, Taeko; Matsuura, Masato; Inoue, Yuichi",2013,Sleep,"Electroencephalogram,Lewy body disease,mild cognitive impairment,Parkinson disease,REM sleep behavior disorder","Electroencephalogram,Lewy body disease,mild cognitive impairment,Parkinson disease,REM sleep behavior disorder",Other patients,Laboratory,Diagnosis,"Cognitive activity,Sleep topics",BioPotential,,EEG,,sleep.3224,research-article,
Balance Testing With Inertial Sensors in Patients With Parkinson's Disease: Assessment of Motor Subtypes,L. Rocchi; L. Palmerini; A. Weiss; T. Herman; J. M. Hausdorff,2014,IEEE Transactions on Neural Systems and Rehabilitation Engineering,Discriminative analysis;inertial sensors;Parkinson's disease (PD);postural instability gait difficulty (PIGD);posture;tremor dominant (TD),Discriminative analysis;inertial sensors;Parkinson's disease (PD);postural instability gait difficulty (PIGD);posture;tremor dominant (TD),,,Diagnosis,"Tremor,Posture,Balance",Wearable,,Accelerometer,100,tnsre.2013.2292496,IEEE Journals & Magazines,
Experimental support that ocular tremor in Parkinson's disease does not originate from head movement,"Gitchel, George T.; Wetzel, Paul A.; Qutubuddin, Abu; Baron, Mark S.",2014,Parkinsonism & Related Disorders,"Ocular tremor, Parkinson's disease, Bite plate, Oscillopsia, Biomarker, Eye movements","Ocular tremor, Parkinson's disease, Bite plate, Oscillopsia, Biomarker, Eye movements",,,Diagnosis,Tremor,Other,,"Accelerometer,Magnetometer",,j.parkreldis.2014.03.028,Research Article,
Parkinson's disease and essential tremor classification on mobile device,"Woods, Alan Michael; Nowostawski, Mariusz; Franz, Elizabeth A.; Purvis, Martin",2014,Pervasive and Mobile Computing,"Tremor, Parkinson's disease, Essential tremor, Attention, Distraction, Classification","Tremor, Parkinson's disease, Essential tremor, Attention, Distraction, Classification",,,Diagnosis,Tremor,Smartphone,,Accelerometer,,j.pmcj.2013.10.002,Research Article,
EMG signal morphology and kinematic parameters in essential tremor and Parkinson's disease patients,"Ruonala, V.; Meigal, A.; Rissanen, S. M.; Airaksinen, O.; KankaanpÃ¤Ã¤, M.; Karjalainen, P. A.",2014,Journal of Electromyography and Kinesiology,"EMG, Parkinson's disease, Essential tremor, Signal morphology","EMG, Parkinson's disease, Essential tremor, Signal morphology",,,Diagnosis,Tremor,BioPotential,,EMG,,j.jelekin.2013.12.007,Research Article,
A study for automatic diagnosing system of Parkinson Disease: A systematic analysis of Parkinsonian tremor by accelerometer,I. Fukumoto,2014,"2014 11th International Conference on Informatics in Control, Automation and Robotics (ICINCO)",Parkinson Disease;Physiological Diagnosis;Biofeedback;Accelero-Meter;Main Frequency,Parkinson Disease;Physiological Diagnosis;Biofeedback;Accelero-Meter;Main Frequency,,,Diagnosis,Tremor,Wearable,,Accelerometer,uk,5.02E+12,IEEE Conferences,
DIMETER: A Haptic Master Device for Tremor Diagnosis in Neurodegenerative Diseases,"GonzÃ¡lez, Roberto; Barrientos, Antonio; del Cerro, Jaime; Coca, Benito",2014,Sensors,"DIMETER, diagnostic tremor aids, Parkinson's disease (PD) diagnosis, essential tremor (ET) diagnosis, neurodegenerative diseases, haptic master, tremor device","DIMETER, diagnostic tremor aids, Parkinson's disease (PD) diagnosis, essential tremor (ET) diagnosis, neurodegenerative diseases, haptic master, tremor device",,,Diagnosis,Tremor,Motion Tracker,,Motion capture,,s140304536,Article,
